trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9996}",20,0,-51.521610523855024,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9992000000000001}",20,0,-38.84503970320148,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9988000000000001}",30,0,-131.51826900251547,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9984000000000002}",25,0,-208.91666208597843,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9980000000000002}",25,0,-186.73055138510404,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9976000000000003}",25,0,-95.0076662317515,"{0: 12, 1: 4, 2: 9, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9972000000000003}",35,0,-102.34207973652299,"{0: 26, 1: 2, 2: 2, 3: 5, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9968000000000004}",25,11,-22.650659128462877,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9964000000000004}",20,0,-201.20537241678238,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9960000000000004}",30,0,-233.1921486013191,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.9956000000000005}",20,0,-94.59845398322618,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9952000000000005}",20,0,-97.19875964116459,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9948000000000006}",20,0,-52.435347839908644,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9944000000000006}",25,0,-84.70919513002855,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9940000000000007}",20,0,-114.38227879407704,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9936000000000007}",20,0,-55.999765582484734,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9932000000000007}",35,0,-247.0442200168602,"{0: 21, 1: 1, 2: 8, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.9928000000000008}",20,0,-158.93177397649288,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9924000000000008}",25,0,-88.37667787982106,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9920000000000009}",20,0,-154.69919249653722,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9916000000000009}",20,0,-151.9698670240866,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.991200000000001}",30,17,-26.765606707459234,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.990800000000001}",20,0,-38.40302310686353,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9904000000000011}",20,0,-192.47219095361442,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.9900000000000011}",30,0,-58.10648539638026,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9896000000000011}",20,0,-180.4529928539682,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9892000000000012}",30,0,-181.7308339343054,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9888000000000012}",30,0,-172.30655896455312,"{0: 15, 1: 2, 2: 10, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9884000000000013}",20,0,-84.63295849910236,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9880000000000013}",25,13,-1.612080322368544,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.9876000000000014}",20,0,-117.36055342374503,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9872000000000014}",25,6,-153.41488966588338,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 3}",1
33,False,"{'a': 0.5, 'e': 0.9868000000000015}",25,0,-89.5404682148311,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9864000000000015}",30,18,-37.14726570039819,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.9860000000000015}",35,0,-250.2467218116616,"{0: 19, 1: 5, 2: 6, 3: 1, 4: 4}",0
36,False,"{'a': 0.5, 'e': 0.9856000000000016}",20,0,-190.24498281801573,"{0: 8, 1: 4, 2: 2, 3: 4, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9852000000000016}",20,0,-24.031283414375345,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9848000000000017}",20,0,-75.1364800093411,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9844000000000017}",20,0,-115.83350424818076,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9840000000000018}",20,0,-38.97258207908923,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.9836000000000018}",25,11,-32.57534740036845,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.9832000000000019}",25,13,-109.5523450218526,"{0: 5, 1: 0, 2: 4, 3: 2, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.9828000000000019}",25,0,-80.77923543946261,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9824000000000019}",30,0,-50.406048390942644,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.982000000000002}",20,0,-75.16732278617333,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.981600000000002}",25,0,-82.07373449521715,"{0: 16, 1: 5, 2: 1, 3: 3, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9812000000000021}",30,0,-97.12493355745508,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9808000000000021}",35,0,-233.70479426874812,"{0: 22, 1: 3, 2: 4, 3: 2, 4: 4}",0
49,False,"{'a': 0.5, 'e': 0.9804000000000022}",25,0,-74.192705906171,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9800000000000022}",25,0,-117.17756759889541,"{0: 14, 1: 0, 2: 9, 3: 2, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9796000000000022}",20,0,-67.32998337193914,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
