trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9995}",20,0,-52.022114924079474,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9990000000000001}",25,0,-109.58140665818826,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9985000000000002}",20,0,-224.22689903227246,"{0: 5, 1: 3, 2: 9, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9980000000000002}",25,0,-155.0545080728984,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9975000000000003}",20,0,-154.04669954031016,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9970000000000003}",20,0,-152.4867015288217,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9965000000000004}",25,0,-161.46115696479427,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9960000000000004}",20,0,-91.51043848747881,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9955000000000005}",30,0,-158.33957258215537,"{0: 18, 1: 2, 2: 5, 3: 4, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9950000000000006}",20,0,-82.57293558839697,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9945000000000006}",35,0,-179.50668803959093,"{0: 20, 1: 4, 2: 8, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9940000000000007}",25,8,-51.078475984750646,"{0: 9, 1: 5, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9935000000000007}",20,0,-57.77425109053064,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9930000000000008}",25,0,-194.1697796515142,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9925000000000008}",20,0,-97.9778009554479,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9920000000000009}",20,0,-144.00218061352862,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",1
17,False,"{'a': 0.5, 'e': 0.9915000000000009}",25,0,-203.03896957044591,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.991000000000001}",35,0,-272.4728414769434,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.990500000000001}",30,0,-319.94025276278865,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 6}",0
20,False,"{'a': 0.5, 'e': 0.9900000000000011}",25,0,-181.5330252438552,"{0: 12, 1: 4, 2: 4, 3: 3, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9895000000000012}",30,0,-122.39915174018178,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9890000000000012}",25,0,-130.14146941066733,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
