trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.999}",20,2,-72.381339632904,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.1, 'e': 0.998}",25,0,-154.48535470386358,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.997}",30,0,-170.79214040252944,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.996}",25,0,-111.20136334536453,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.995}",20,0,-53.70118016663088,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.994}",30,0,-142.93142482022753,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.993}",30,0,-122.87277067205318,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.992}",25,0,-119.00527860935057,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.991}",30,0,-129.52192629152202,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.99}",25,0,-31.831688927557334,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.989}",20,0,-114.75396644159298,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.988}",20,0,-55.45613185342127,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.987}",20,0,-151.73850537577303,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.1, 'e': 0.986}",20,0,-182.2999168500351,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.1, 'e': 0.985}",20,0,-155.64749266394463,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
