trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9996}",30,0,-119.0663720142491,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9992000000000001}",30,1,-95.53847860203392,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.9988000000000001}",25,0,-112.97723836430836,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9984000000000002}",20,0,-69.1570132634198,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9980000000000002}",25,0,-107.11028100384743,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9976000000000003}",35,0,-162.12046548863245,"{0: 20, 1: 4, 2: 8, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9972000000000003}",30,0,-184.1940408204244,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9968000000000004}",20,0,-51.27294422957388,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9964000000000004}",30,0,-110.26939195860871,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9960000000000004}",20,0,-149.09627764598906,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9956000000000005}",25,8,-139.1931624363713,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.9952000000000005}",25,0,-216.84748173584546,"{0: 13, 1: 1, 2: 5, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9948000000000006}",25,0,-93.63659850493943,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9944000000000006}",25,0,-67.49078541322213,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9940000000000007}",20,0,-156.56515202002947,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9936000000000007}",20,0,-87.06883066191939,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9932000000000007}",20,0,-121.91099617964663,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9928000000000008}",30,0,-126.05482797678184,"{0: 16, 1: 2, 2: 11, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9924000000000008}",25,0,-96.78342541597347,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9920000000000009}",30,0,-138.6337857292992,"{0: 12, 1: 7, 2: 11, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9916000000000009}",20,1,-74.65421984082802,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.991200000000001}",30,0,-287.7029729535069,"{0: 12, 1: 3, 2: 9, 3: 2, 4: 4}",0
23,False,"{'a': 0.5, 'e': 0.990800000000001}",25,0,-210.97979688517034,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9904000000000011}",20,0,-86.34822031197274,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9900000000000011}",20,0,-183.4483315395874,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9896000000000011}",25,0,-106.28243030701222,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9892000000000012}",30,0,-78.47408997425093,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9888000000000012}",30,0,-138.5955449408271,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9884000000000013}",20,0,-65.91995531117335,"{0: 8, 1: 9, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9880000000000013}",20,0,-33.51860440586566,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9876000000000014}",25,0,-215.53173675738597,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
32,False,"{'a': 0.5, 'e': 0.9872000000000014}",20,0,-178.90540990974088,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
33,False,"{'a': 0.5, 'e': 0.9868000000000015}",20,0,-86.26489810273115,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9864000000000015}",20,0,-72.6634413032449,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9860000000000015}",20,0,-73.98104910196388,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9856000000000016}",25,0,-98.12645782095233,"{0: 11, 1: 7, 2: 6, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.9852000000000016}",35,11,-105.75526555499441,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 2}",1
38,False,"{'a': 0.5, 'e': 0.9848000000000017}",30,0,-111.85962496773165,"{0: 19, 1: 7, 2: 2, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9844000000000017}",30,0,-257.06720600545253,"{0: 14, 1: 0, 2: 9, 3: 5, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9840000000000018}",20,0,-65.57346119219807,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9836000000000018}",20,0,-55.77993647979645,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9832000000000019}",20,0,-135.19067528123782,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9828000000000019}",20,0,-83.52175344068941,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9824000000000019}",25,0,-87.3376620885114,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.982000000000002}",25,0,-119.00246618826714,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.981600000000002}",25,12,-17.957334941699248,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.9812000000000021}",25,3,-20.877688118351436,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.9808000000000021}",20,0,-83.57148297059264,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9804000000000022}",25,0,-218.4854446330517,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
50,False,"{'a': 0.5, 'e': 0.9800000000000022}",30,0,-181.82404900325852,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
