trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.999}",30,0,-77.0983286668599,"{0: 18, 1: 7, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.1, 'e': 0.998}",25,0,-138.2883971493697,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.997}",35,0,-122.50460602703674,"{0: 24, 1: 2, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.996}",25,0,-166.18156278060187,"{0: 10, 1: 7, 2: 4, 3: 3, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.995}",25,0,-148.8098945944489,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.1, 'e': 0.994}",20,0,-70.01948606299925,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.993}",30,0,-158.3687495185399,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.992}",30,0,-94.60639552643178,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.991}",20,0,-73.26858910345207,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.99}",20,16,6.808220071093254,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.1, 'e': 0.989}",25,0,-69.69189563691289,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.988}",30,0,-101.07225102415396,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.987}",20,0,-132.67440517872913,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.1, 'e': 0.986}",20,0,-73.43138226550163,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.985}",20,0,-103.19850300942744,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.984}",25,0,-255.23140727168493,"{0: 12, 1: 0, 2: 8, 3: 1, 4: 4}",0
17,False,"{'a': 0.1, 'e': 0.983}",25,0,-102.10585905986795,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.982}",30,0,-144.498850423639,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.981}",35,0,-187.3887455828844,"{0: 21, 1: 3, 2: 8, 3: 0, 4: 3}",0
20,False,"{'a': 0.1, 'e': 0.98}",25,0,-85.49870058182755,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
21,False,"{'a': 0.1, 'e': 0.979}",25,0,-141.29532119662275,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.1, 'e': 0.978}",20,0,-83.38235702156172,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
23,False,"{'a': 0.1, 'e': 0.977}",25,5,-75.66955229145384,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",1
24,False,"{'a': 0.1, 'e': 0.976}",25,0,-90.98605272356303,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
25,False,"{'a': 0.1, 'e': 0.975}",25,0,-219.41278098354317,"{0: 12, 1: 4, 2: 3, 3: 3, 4: 3}",0
26,False,"{'a': 0.1, 'e': 0.974}",20,0,-109.95390900633893,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
