trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-145.1484719126712,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-153.31972872392893,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-111.07857120155857,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9605960100000001}",20,11,-87.17818357808747,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.9509900499}",20,0,-156.4159040342042,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-247.40439103934685,"{0: 11, 1: 1, 2: 9, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.93206534790699}",20,0,-102.47225197412342,"{0: 10, 1: 6, 2: 1, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279202}",30,0,-201.7247060844911,"{0: 14, 1: 3, 2: 10, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836409}",20,12,-53.329249201606615,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9043820750088045}",20,0,-84.8347215892784,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587165}",25,0,-111.27729161685653,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161293}",30,0,-217.21130179668089,"{0: 16, 1: 6, 2: 2, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989681}",25,0,-16.91826593913847,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689783}",25,6,-87.01399045644207,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412885}",30,0,-149.9995137125165,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948756}",25,0,-28.7508893640227,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839269}",25,0,-11.128820081167932,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500876}",25,0,-130.9991240438743,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355868}",30,0,-95.17093595799867,"{0: 16, 1: 9, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972309}",25,0,-104.22405772203112,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212585}",30,17,-59.44436992532894,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.801630589539046}",30,0,-116.33723883095647,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436555}",25,0,-74.82244470528482,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.785678140807219}",20,0,-64.26926156683079,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991468}",20,0,-90.37915399672518,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051553}",25,0,-35.7412233297533,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471038}",30,0,-97.42222041872787,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036327}",25,0,-122.99247922258358,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315964}",25,7,-60.25036431072901,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.7397003733882804}",20,2,-40.41892176872415,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.7323033696543976}",25,18,-15.257194573392006,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7249803359578536}",30,8,-75.1007085144173,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.717730532598275}",25,0,-82.33276077691697,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722923}",30,0,-138.1226728082194,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
