trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.99}",30,0,-140.5020876674671,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.9801}",25,0,-169.82846599492166,"{0: 14, 1: 4, 2: 1, 3: 4, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.970299}",20,2,-136.7953082441193,"{0: 11, 1: 3, 2: 0, 3: 1, 4: 3}",1
4,False,"{'a': 0.2, 'e': 0.9605960100000001}",20,0,-106.58461023342794,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.9509900499}",20,0,-51.814178865834826,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.2, 'e': 0.941480149401}",25,0,-177.07504763143112,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.2, 'e': 0.93206534790699}",30,0,-175.06514994617655,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.2, 'e': 0.9227446944279202}",20,0,-138.08633572392915,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.9135172474836409}",20,0,-101.73865663282257,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.9043820750088045}",25,0,-56.18155325369062,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.2, 'e': 0.8953382542587165}",20,0,-65.10180516470459,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.8863848717161293}",20,0,-183.0779208571338,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.2, 'e': 0.8775210229989681}",30,0,-174.11007476438087,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.8687458127689783}",20,13,-22.947453265566317,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.2, 'e': 0.8600583546412885}",35,0,-137.1366916360546,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.8514577710948756}",30,0,-227.52707640455154,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 4}",0
17,False,"{'a': 0.2, 'e': 0.8429431933839269}",25,8,-19.44273555234134,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.2, 'e': 0.8345137614500876}",30,0,-70.45915819489392,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",1
19,False,"{'a': 0.2, 'e': 0.8261686238355868}",25,0,-94.4192731035754,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.2, 'e': 0.8179069375972309}",25,0,-32.70620938108538,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.2, 'e': 0.8097278682212585}",25,0,-101.65341688439095,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
22,False,"{'a': 0.2, 'e': 0.801630589539046}",20,0,-53.35149189625274,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
23,False,"{'a': 0.2, 'e': 0.7936142836436555}",20,0,-69.35954620182915,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.2, 'e': 0.785678140807219}",25,0,-105.39164541511013,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
25,False,"{'a': 0.2, 'e': 0.7778213593991468}",25,12,-25.68220282012127,"{0: 8, 1: 4, 2: 0, 3: 1, 4: 0}",1
26,False,"{'a': 0.2, 'e': 0.7700431458051553}",20,13,-0.6015318345674641,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
