trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.99}",30,0,-182.71722559910566,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9801}",25,0,-71.40679679717603,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.970299}",25,0,-110.41790609212258,"{0: 11, 1: 6, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.9605960100000001}",35,0,-276.22910164418886,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 5}",0
5,False,"{'a': 0.1, 'e': 0.9509900499}",35,0,-165.19818270321227,"{0: 20, 1: 6, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.941480149401}",20,0,-62.582928033396854,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.93206534790699}",25,0,-187.57104037336177,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.1, 'e': 0.9227446944279202}",25,0,-79.55495859221026,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.9135172474836409}",20,0,-80.65899778992666,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.9043820750088045}",25,0,-173.7992990091663,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.1, 'e': 0.8953382542587165}",20,0,-75.69385702416905,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.8863848717161293}",20,0,-85.90840109402144,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.8775210229989681}",25,0,-42.07634828673015,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.8687458127689783}",20,0,-152.77389090266078,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.8600583546412885}",35,0,-141.8719268336158,"{0: 22, 1: 5, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.8514577710948756}",25,0,-74.84657990978543,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.8429431933839269}",20,8,-123.8181133214087,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 3}",1
18,False,"{'a': 0.1, 'e': 0.8345137614500876}",20,0,-151.6406578066238,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.8261686238355868}",25,0,-148.95672369351638,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
20,False,"{'a': 0.1, 'e': 0.8179069375972309}",35,0,-294.96790859610326,"{0: 19, 1: 2, 2: 6, 3: 4, 4: 4}",0
21,False,"{'a': 0.1, 'e': 0.8097278682212585}",20,0,-95.32816541730318,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.801630589539046}",20,0,-31.77187046352976,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.1, 'e': 0.7936142836436555}",30,0,-95.96844073951254,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
24,False,"{'a': 0.1, 'e': 0.785678140807219}",20,0,-45.59545985262528,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.1, 'e': 0.7778213593991468}",20,7,-27.618922401931457,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
26,False,"{'a': 0.1, 'e': 0.7700431458051553}",20,0,-74.99970912642833,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
27,False,"{'a': 0.1, 'e': 0.7623427143471038}",25,13,-18.24915106278363,"{0: 7, 1: 5, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.1, 'e': 0.7547192872036327}",20,0,-156.7901855794793,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
29,False,"{'a': 0.1, 'e': 0.7471720943315964}",25,0,-85.45474690370375,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.1, 'e': 0.7397003733882804}",25,9,-45.567937975569514,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 0}",1
31,False,"{'a': 0.1, 'e': 0.7323033696543976}",30,12,-112.72275740483875,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 1}",1
32,False,"{'a': 0.1, 'e': 0.7249803359578536}",25,0,-68.24008395175464,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.1, 'e': 0.717730532598275}",30,0,-38.45457851297494,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
34,False,"{'a': 0.1, 'e': 0.7105532272722923}",25,1,-52.63149215651633,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 0}",1
35,False,"{'a': 0.1, 'e': 0.7034476949995694}",25,2,-53.450303250620884,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 0}",1
36,False,"{'a': 0.1, 'e': 0.6964132180495737}",25,9,1.1730238137342652,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.1, 'e': 0.6894490858690779}",20,0,-53.26896121928268,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
38,False,"{'a': 0.1, 'e': 0.6825545950103872}",20,0,-84.79088498240745,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
39,False,"{'a': 0.1, 'e': 0.6757290490602833}",20,0,-123.97535612779126,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
40,False,"{'a': 0.1, 'e': 0.6689717585696805}",25,0,-102.67217101113272,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
41,False,"{'a': 0.1, 'e': 0.6622820409839837}",30,0,-45.55142503339903,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
42,False,"{'a': 0.1, 'e': 0.6556592205741438}",20,0,-56.51044319690634,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
43,False,"{'a': 0.1, 'e': 0.6491026283684024}",20,0,-103.44459217906171,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
44,False,"{'a': 0.1, 'e': 0.6426116020847183}",30,0,-92.76322217618123,"{0: 17, 1: 6, 2: 6, 3: 1, 4: 0}",0
45,False,"{'a': 0.1, 'e': 0.6361854860638712}",20,9,-55.864540731566855,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 1}",1
46,False,"{'a': 0.1, 'e': 0.6298236312032325}",20,0,-10.429545030325395,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.1, 'e': 0.6235253948912002}",30,0,-67.45593678048165,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
48,False,"{'a': 0.1, 'e': 0.6172901409422882}",25,2,-69.00589095704703,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 1}",1
49,False,"{'a': 0.1, 'e': 0.6111172395328653}",30,0,-146.6420628509275,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
50,False,"{'a': 0.1, 'e': 0.6050060671375367}",25,0,-64.84384543220307,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.1, 'e': 0.5989560064661613}",25,0,-119.66551737884684,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
52,False,"{'a': 0.1, 'e': 0.5929664464014998}",30,6,-1.4972301525749618,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.5870367819374848}",20,0,-76.72122999299283,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
54,False,"{'a': 0.1, 'e': 0.5811664141181099}",20,0,-8.890707465990294,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.1, 'e': 0.5753547499769288}",25,18,-9.130028595367495,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.1, 'e': 0.5696012024771595}",20,0,-83.88405575807143,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.1, 'e': 0.563905190452388}",30,0,-28.664319343592958,"{0: 25, 1: 3, 2: 0, 3: 2, 4: 0}",0
